"plant","txt","revenue","discount","profit","quantity","bills_count","traffic","promo_sold","promo_rate","avg_qty_per_bill","btt","avg_bill_rub","avg_customer_rub"
M001,Магазин №1,470294.00,9859.260000000002,460434.74,1344,290,1018,56,4.2,4.63,28.49,1621.7,462.0
M002,Магазин №2,212412.00,5169.68,207242.32,637,161,1017,26,4.1,3.96,15.83,1319.3,208.9
M003,Магазин №3,1002880.00,21213.14,981666.86,3071,651,1058,112,3.6,4.72,61.53,1540.5,947.9
M004,Магазин №4,274708.00,5995.12,268712.88,755,168,671,35,4.6,4.49,25.04,1635.2,409.4
M005,Магазин №5,465034.00,9106.2,455927.8,1511,331,501,56,3.7,4.56,66.07,1404.9,928.2
M006,Магазин №6,261909.00,5349.58,256559.42,767,164,1025,35,4.6,4.68,16.00,1597.0,255.5
M007,Магазин №7,222390.00,3772.7799999999997,218617.22,802,155,618,30,3.7,5.17,25.08,1434.8,359.9
M008,Магазин №8,395829.00,8944.98,386884.02,1220,300,479,57,4.7,4.07,62.63,1319.4,826.4
M009,Магазин №9,206682.00,2760.8,203921.2,705,137,740,18,2.6,5.15,18.51,1508.6,279.3
M010,Магазин №10,201874.00,5638.639999999999,196235.36,751,166,2075,29,3.9,4.52,8.00,1216.1,97.3
M011,Магазин №11,199889.00,8036.48,191852.52,731,157,1121,38,5.2,4.66,14.01,1273.2,178.3
M012,Магазин №12,283460.00,5248.24,278211.76,890,182,1051,40,4.5,4.89,17.32,1557.5,269.7
M013,Магазин №13,278789.00,4511.66,274277.34,918,167,614,31,3.4,5.50,27.20,1669.4,454.1
M014,Магазин №14,220784.00,3856.12,216927.88,695,147,472,28,4.0,4.73,31.14,1501.9,467.8
M015,Магазин №15,58302.00,1440.0,56862.0,138,37,1085,6,4.3,3.73,3.41,1575.7,53.7
